               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016711,              0.0055,            0.011896,             0.53572,             0.26627,             0.21776,             0.13923,             0.01493,           0.0054177,            0.012316,           0.0031117,           0.0031117,           0.0031117
                  36,            0.016561,           0.0053974,            0.011693,             0.62497,             0.26617,              0.2478,             0.16045,            0.015128,           0.0054585,            0.012281,           0.0031065,           0.0031065,           0.0031065
                  37,             0.01674,           0.0053236,             0.01145,             0.62115,              0.2803,             0.25056,             0.15867,            0.015208,           0.0054568,            0.011977,           0.0031011,           0.0031011,           0.0031011
                  38,            0.016589,           0.0053302,            0.011384,             0.65476,             0.26707,              0.2608,             0.16896,            0.015332,           0.0053801,            0.011719,           0.0030956,           0.0030956,           0.0030956
                  39,            0.016571,           0.0053027,            0.011162,             0.66202,             0.24721,             0.25236,             0.16429,            0.015448,           0.0053963,            0.011444,             0.00309,             0.00309,             0.00309
                  40,            0.016577,           0.0053404,             0.01099,             0.64701,             0.28392,             0.27204,             0.17336,             0.01551,           0.0054163,            0.011222,           0.0030842,           0.0030842,           0.0030842
                  41,            0.016319,           0.0052972,            0.010745,             0.65394,             0.29162,             0.27935,             0.17934,            0.015068,           0.0054204,            0.011386,           0.0030783,           0.0030783,           0.0030783
                  42,            0.016441,           0.0053147,            0.010482,             0.67671,             0.29181,             0.29384,             0.19401,            0.014912,           0.0053392,            0.010892,           0.0030722,           0.0030722,           0.0030722
                  43,            0.016384,           0.0052151,            0.010355,             0.67882,             0.30114,             0.30106,             0.19568,            0.014889,           0.0053433,            0.010855,            0.003066,            0.003066,            0.003066
                  44,            0.016361,           0.0053334,             0.01023,              0.7156,             0.26977,             0.30888,             0.19884,            0.014943,           0.0053409,            0.010505,           0.0030596,           0.0030596,           0.0030596
                  45,            0.016452,           0.0052548,            0.010022,             0.67104,             0.32138,             0.31494,             0.20339,            0.014777,           0.0053691,            0.010657,           0.0030532,           0.0030532,           0.0030532
                  46,            0.016299,           0.0053254,           0.0098214,             0.73316,             0.29231,             0.32618,             0.21347,            0.014717,           0.0053203,            0.010369,           0.0030465,           0.0030465,           0.0030465
                  47,            0.016384,           0.0052264,            0.009784,             0.73501,             0.31334,             0.33466,             0.21786,            0.014871,           0.0052329,            0.010315,           0.0030398,           0.0030398,           0.0030398
                  48,            0.016289,           0.0052541,            0.009556,             0.73128,             0.32383,              0.3461,             0.22411,            0.014856,           0.0052978,            0.010076,           0.0030329,           0.0030329,           0.0030329
                  49,            0.016239,           0.0052034,           0.0094813,             0.76409,             0.32048,             0.35335,             0.23289,            0.014909,           0.0052795,           0.0099893,           0.0030258,           0.0030258,           0.0030258
                  50,            0.016059,           0.0052088,           0.0092329,             0.77866,             0.32135,             0.36065,             0.24006,            0.014914,           0.0053243,           0.0096549,           0.0030187,           0.0030187,           0.0030187
                  51,            0.016086,           0.0052259,           0.0092016,             0.79172,             0.31785,             0.36677,              0.2469,            0.014534,           0.0052566,           0.0096081,           0.0030114,           0.0030114,           0.0030114
                  52,            0.016054,           0.0051121,           0.0088674,             0.82511,             0.31419,             0.37517,             0.24837,            0.014774,           0.0052125,            0.009559,           0.0030039,           0.0030039,           0.0030039
                  53,            0.016064,           0.0051933,            0.008851,             0.82802,             0.31585,             0.38178,             0.25467,            0.014486,           0.0052288,           0.0094309,           0.0029964,           0.0029964,           0.0029964
                  54,            0.016047,           0.0051703,            0.008686,             0.84971,             0.32249,             0.39654,             0.26449,            0.014582,           0.0051575,           0.0089839,           0.0029886,           0.0029886,           0.0029886
                  55,             0.01602,           0.0051306,           0.0085051,             0.80902,             0.35176,             0.39762,             0.26471,            0.014875,           0.0051706,           0.0091941,           0.0029808,           0.0029808,           0.0029808
                  56,             0.01589,           0.0050714,            0.008452,             0.81604,             0.36641,             0.39708,             0.26392,            0.014623,           0.0051919,           0.0087851,           0.0029728,           0.0029728,           0.0029728
                  57,            0.015998,           0.0051497,           0.0083314,             0.83193,             0.35854,             0.40289,             0.26671,            0.014541,           0.0052212,           0.0088009,           0.0029648,           0.0029648,           0.0029648
                  58,             0.01589,           0.0050341,           0.0081486,             0.78637,             0.35023,             0.41147,             0.26769,            0.014604,           0.0051584,           0.0086411,           0.0029565,           0.0029565,           0.0029565
