               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016898,           0.0055163,            0.011733,             0.53174,             0.25316,             0.21235,             0.13325,            0.014978,           0.0054654,            0.012242,           0.0031117,           0.0031117,           0.0031117
                  36,            0.016746,           0.0053975,            0.011516,             0.47557,             0.33535,             0.23389,             0.14452,            0.015473,           0.0054921,            0.012096,           0.0031065,           0.0031065,           0.0031065
                  37,            0.016945,           0.0053409,            0.011301,             0.50043,             0.28831,              0.2367,             0.14721,            0.015249,           0.0055345,            0.012058,           0.0031011,           0.0031011,           0.0031011
                  38,            0.016577,             0.00532,            0.011212,             0.61949,             0.28093,             0.25423,             0.15712,            0.015313,           0.0054323,            0.011585,           0.0030956,           0.0030956,           0.0030956
                  39,            0.016612,           0.0053114,            0.011011,             0.56638,             0.30024,             0.25704,             0.16365,             0.01511,           0.0053991,             0.01146,             0.00309,             0.00309,             0.00309
                  40,            0.016713,           0.0053495,            0.010858,             0.60743,             0.31486,             0.27597,              0.1743,            0.014988,           0.0053702,            0.011217,           0.0030842,           0.0030842,           0.0030842
                  41,             0.01633,           0.0052894,             0.01059,             0.55732,             0.36823,             0.28217,             0.18392,            0.015167,           0.0053541,            0.011165,           0.0030783,           0.0030783,           0.0030783
                  42,            0.016435,           0.0053124,            0.010351,             0.65411,             0.30415,             0.29441,              0.1922,            0.014971,           0.0053101,            0.010977,           0.0030722,           0.0030722,           0.0030722
                  43,            0.016318,           0.0052216,            0.010226,             0.68064,             0.30305,             0.30141,             0.19776,            0.014933,           0.0053138,            0.010726,            0.003066,            0.003066,            0.003066
                  44,            0.016278,           0.0053386,            0.010071,             0.67293,             0.32767,             0.30805,             0.19837,            0.014871,           0.0053122,            0.010642,           0.0030596,           0.0030596,           0.0030596
                  45,            0.016581,            0.005256,           0.0099189,              0.6973,             0.31981,             0.31721,             0.20651,             0.01471,           0.0053474,            0.010593,           0.0030532,           0.0030532,           0.0030532
                  46,             0.01636,           0.0053403,           0.0097435,             0.74557,             0.28706,             0.32472,              0.2194,            0.014694,           0.0052948,             0.01027,           0.0030465,           0.0030465,           0.0030465
                  47,            0.016445,           0.0052114,           0.0096636,             0.75369,             0.29766,             0.33302,             0.21813,            0.014747,            0.005284,            0.010175,           0.0030398,           0.0030398,           0.0030398
                  48,            0.016253,           0.0052533,           0.0094984,             0.73545,             0.31104,             0.34587,             0.22554,            0.014976,           0.0053045,           0.0099161,           0.0030329,           0.0030329,           0.0030329
                  49,            0.016328,           0.0051825,           0.0093838,             0.74496,             0.30889,             0.34784,             0.22941,             0.01477,           0.0053246,           0.0098851,           0.0030258,           0.0030258,           0.0030258
                  50,            0.015976,           0.0052038,            0.009124,             0.77534,             0.30754,             0.35424,             0.23047,            0.014876,           0.0053632,           0.0097625,           0.0030187,           0.0030187,           0.0030187
                  51,            0.016068,           0.0052232,           0.0091924,             0.79323,              0.2996,             0.36212,             0.23982,            0.014565,           0.0053707,           0.0094864,           0.0030114,           0.0030114,           0.0030114
                  52,            0.016065,           0.0051073,           0.0088004,             0.75435,             0.34656,             0.37051,             0.24989,            0.014658,           0.0052737,           0.0094972,           0.0030039,           0.0030039,           0.0030039
                  53,            0.016036,           0.0051864,           0.0088034,              0.7942,             0.33124,             0.37734,             0.25129,            0.014592,            0.005251,           0.0091856,           0.0029964,           0.0029964,           0.0029964
                  54,            0.016123,           0.0051891,           0.0086118,             0.81537,             0.33286,             0.38681,              0.2544,            0.014561,           0.0052171,           0.0088516,           0.0029886,           0.0029886,           0.0029886
                  55,            0.016003,           0.0051378,           0.0084299,             0.84047,             0.33847,             0.39181,             0.25973,            0.014941,           0.0052138,           0.0090052,           0.0029808,           0.0029808,           0.0029808
                  56,            0.015723,           0.0050501,           0.0083829,             0.76162,             0.35931,             0.39883,             0.26412,            0.014522,           0.0052349,           0.0087016,           0.0029728,           0.0029728,           0.0029728
                  57,            0.015928,           0.0051331,           0.0082747,             0.74653,             0.36361,              0.3999,             0.26657,            0.014599,           0.0052497,           0.0087973,           0.0029648,           0.0029648,           0.0029648
                  58,            0.015805,            0.005029,           0.0080925,             0.76223,             0.34672,             0.39932,             0.26757,            0.014495,             0.00522,           0.0085921,           0.0029565,           0.0029565,           0.0029565
                  59,            0.015768,           0.0050507,           0.0079728,             0.75684,             0.35527,             0.41627,             0.27637,            0.014476,           0.0051881,           0.0086151,           0.0029482,           0.0029482,           0.0029482
                  60,            0.015709,           0.0049272,           0.0078117,             0.73192,             0.35818,             0.42745,             0.28413,            0.014435,           0.0052019,            0.008212,           0.0029397,           0.0029397,           0.0029397
                  61,            0.015704,           0.0049442,           0.0078722,             0.76823,             0.35675,             0.43358,             0.28962,            0.014277,           0.0051159,           0.0082525,           0.0029311,           0.0029311,           0.0029311
                  62,            0.015739,           0.0050184,           0.0077779,             0.73246,             0.38434,              0.4406,             0.28856,            0.014347,           0.0052467,           0.0080152,           0.0029224,           0.0029224,           0.0029224
                  63,            0.015532,           0.0049286,           0.0074927,             0.66283,             0.39892,             0.43995,             0.29699,            0.014441,           0.0051272,           0.0079371,           0.0029135,           0.0029135,           0.0029135
                  64,            0.015586,           0.0050288,           0.0075604,             0.72814,             0.39584,             0.43765,             0.29467,            0.014294,           0.0051361,           0.0080266,           0.0029045,           0.0029045,           0.0029045
                  65,            0.015473,           0.0049166,           0.0073454,             0.73629,             0.39923,              0.4493,             0.29453,            0.014455,           0.0051614,           0.0080544,           0.0028954,           0.0028954,           0.0028954
                  66,             0.01555,            0.004964,           0.0071652,             0.73832,              0.3921,             0.44247,             0.29316,            0.014235,           0.0051592,           0.0080746,           0.0028862,           0.0028862,           0.0028862
                  67,            0.015441,           0.0049708,           0.0071549,             0.77992,             0.38517,             0.45396,             0.29752,            0.014361,           0.0051316,           0.0078847,           0.0028769,           0.0028769,           0.0028769
                  68,            0.015469,           0.0049385,           0.0072398,             0.74906,             0.39545,             0.45307,             0.30143,            0.014129,           0.0050835,           0.0078455,           0.0028674,           0.0028674,           0.0028674
                  69,            0.015522,           0.0049446,           0.0069395,             0.83593,             0.37399,             0.46104,             0.30531,            0.014093,            0.005041,           0.0078215,           0.0028578,           0.0028578,           0.0028578
                  70,            0.015198,           0.0049375,           0.0069925,             0.84319,             0.37447,             0.46291,             0.30566,            0.014154,           0.0050716,           0.0076374,           0.0028482,           0.0028482,           0.0028482
                  71,              0.0155,           0.0049313,           0.0070041,              0.8264,              0.3871,               0.454,             0.29924,            0.014231,           0.0050568,           0.0077668,           0.0028383,           0.0028383,           0.0028383
                  72,            0.015349,           0.0048699,           0.0068015,              0.8268,             0.38323,             0.45496,             0.29498,            0.014264,           0.0050954,           0.0075409,           0.0028284,           0.0028284,           0.0028284
                  73,            0.015307,           0.0049081,           0.0067596,             0.81705,              0.3903,              0.4639,              0.3064,            0.014112,           0.0050927,           0.0074227,           0.0028184,           0.0028184,           0.0028184
                  74,            0.015176,           0.0049815,           0.0066979,             0.57048,             0.49602,             0.47365,             0.31236,            0.014056,           0.0050686,           0.0074127,           0.0028082,           0.0028082,           0.0028082
                  75,            0.015026,           0.0048881,           0.0066657,              0.6044,              0.5025,             0.48027,             0.31955,            0.014132,           0.0050356,           0.0073107,            0.002798,            0.002798,            0.002798
                  76,             0.01513,           0.0048039,           0.0065481,             0.59235,             0.50169,             0.48014,             0.31835,            0.014218,           0.0050809,           0.0073886,           0.0027876,           0.0027876,           0.0027876
                  77,            0.015222,           0.0048411,           0.0065668,             0.59239,             0.49811,             0.48968,             0.31804,            0.014313,           0.0050412,           0.0070849,           0.0027771,           0.0027771,           0.0027771
                  78,            0.015055,           0.0048204,            0.006246,             0.62573,             0.49815,             0.48443,             0.31947,             0.01413,           0.0050537,           0.0073075,           0.0027665,           0.0027665,           0.0027665
                  79,            0.014916,           0.0048757,           0.0064118,             0.62122,             0.49384,             0.48858,             0.32252,             0.01407,           0.0050462,           0.0072052,           0.0027558,           0.0027558,           0.0027558
                  80,            0.014885,           0.0046967,           0.0063098,             0.61126,             0.49556,             0.49096,             0.32326,            0.014024,           0.0050719,           0.0071533,            0.002745,            0.002745,            0.002745
                  81,             0.01498,           0.0048403,           0.0062423,             0.65032,             0.49642,             0.50016,             0.33069,             0.01402,           0.0050793,           0.0071089,           0.0027341,           0.0027341,           0.0027341
