               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017414,           0.0019518,           0.0038592,             0.72842,             0.48254,             0.49664,             0.31681,            0.019808,           0.0027047,            0.020794,           0.0010376,           0.0010376,           0.0010376
                  36,            0.017635,           0.0019619,           0.0037869,              0.7664,             0.46944,             0.51696,             0.33268,            0.019314,           0.0027793,            0.020183,           0.0009644,           0.0009644,           0.0009644
                  37,            0.017237,           0.0019396,           0.0036709,             0.71839,             0.53073,             0.52832,             0.34747,             0.01928,           0.0027839,            0.019795,          0.00089451,          0.00089451,          0.00089451
                  38,            0.017096,           0.0019181,           0.0036475,             0.74019,             0.52546,             0.53018,             0.34331,            0.019595,           0.0027732,            0.020374,          0.00082816,          0.00082816,          0.00082816
                  39,            0.017176,           0.0019864,            0.003579,             0.78421,             0.49491,              0.5351,             0.34659,            0.019764,           0.0027139,            0.020264,          0.00076561,          0.00076561,          0.00076561
                  40,             0.01689,           0.0018925,           0.0034846,             0.74058,             0.51912,             0.53395,             0.34459,            0.019376,            0.002745,            0.019868,          0.00070712,          0.00070712,          0.00070712
                  41,            0.017021,           0.0019485,           0.0034064,             0.79348,             0.47924,             0.52077,             0.33943,             0.01933,           0.0027418,            0.020509,           0.0006529,           0.0006529,           0.0006529
                  42,            0.016748,           0.0018729,           0.0034423,              0.7615,             0.49989,             0.52501,              0.3523,            0.019317,           0.0027448,            0.020745,          0.00060319,          0.00060319,          0.00060319
                  43,            0.017207,           0.0019384,           0.0034238,             0.78283,             0.48384,             0.52144,             0.34639,            0.019402,           0.0027234,            0.020693,          0.00055816,          0.00055816,          0.00055816
                  44,            0.016666,           0.0018916,             0.00319,             0.76858,             0.50571,             0.52856,             0.35059,            0.019403,           0.0027064,            0.020456,            0.000518,            0.000518,            0.000518
                  45,            0.016965,           0.0018868,           0.0033938,             0.80722,             0.49056,             0.53653,             0.35727,            0.019438,           0.0027749,            0.020849,          0.00048287,          0.00048287,          0.00048287
                  46,            0.016363,           0.0019412,           0.0033569,             0.78883,             0.49367,             0.53361,             0.35488,            0.019224,           0.0027308,            0.020787,          0.00045291,          0.00045291,          0.00045291
                  47,            0.016328,           0.0018669,           0.0030822,             0.74657,              0.5244,              0.5364,             0.35651,            0.019273,            0.002765,            0.020424,          0.00042823,          0.00042823,          0.00042823
                  48,            0.016307,           0.0018779,           0.0031061,             0.78808,             0.51209,             0.53682,              0.3623,            0.019002,           0.0027634,            0.020968,          0.00040894,          0.00040894,          0.00040894
                  49,            0.016173,           0.0018475,           0.0029319,             0.75531,             0.53063,             0.53253,             0.35724,            0.019094,           0.0027603,            0.021514,           0.0003951,           0.0003951,           0.0003951
