               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05968,           0.0091266,            0.028799,           0.0015225,            0.003641,          0.00083454,          0.00022384,            0.049212,           0.0094682,            0.027054,           0.0005728,           0.0005728,            0.041623
                   1,            0.042578,           0.0097136,            0.026139,             0.32914,            0.015971,           0.0081807,           0.0030554,            0.034116,            0.010015,            0.024391,           0.0011486,           0.0011486,            0.033199
                   2,            0.031939,           0.0099212,             0.02323,             0.97564,            0.020306,            0.025202,            0.011204,            0.027864,           0.0094526,            0.022272,           0.0017233,           0.0017233,            0.024773
                   3,            0.029461,           0.0091359,            0.021592,             0.97642,            0.022691,            0.033332,            0.016068,            0.025361,            0.008733,            0.021129,           0.0022963,           0.0022963,            0.016346
                   4,             0.02743,           0.0082984,            0.020449,             0.94235,            0.031499,            0.040398,            0.018697,            0.023819,           0.0080783,            0.020092,           0.0028668,           0.0028668,           0.0079168
                   5,            0.025967,           0.0076855,            0.019359,            0.022973,             0.21601,            0.051825,            0.026445,            0.023122,           0.0074486,            0.018995,           0.0031827,           0.0031827,           0.0031827
                   6,            0.024199,           0.0072184,            0.018481,            0.024992,             0.27103,            0.060498,             0.03483,            0.020575,           0.0070496,            0.018234,           0.0031827,           0.0031827,           0.0031827
                   7,            0.022787,           0.0068243,             0.01771,            0.031288,             0.28356,            0.071627,            0.043089,            0.019619,           0.0066491,            0.017735,           0.0031751,           0.0031751,           0.0031751
                   8,            0.022236,           0.0066201,            0.017184,            0.036688,             0.28691,            0.070844,            0.043735,            0.019289,           0.0064497,             0.01731,           0.0031661,           0.0031661,           0.0031661
                   9,            0.021366,           0.0064388,            0.017012,            0.038233,             0.26826,            0.075213,            0.046729,            0.018505,           0.0064596,            0.017075,           0.0031558,           0.0031558,           0.0031558
                  10,            0.020763,           0.0062335,            0.016671,              0.2035,             0.26685,            0.080095,            0.052461,            0.019074,           0.0063546,             0.01702,           0.0031441,           0.0031441,           0.0031441
                  11,            0.020302,           0.0062655,            0.016404,              0.1506,             0.29121,            0.086759,            0.056152,            0.018229,           0.0061238,            0.016754,           0.0031311,           0.0031311,           0.0031311
                  12,            0.019902,           0.0062895,            0.016414,              0.2877,             0.27278,             0.08293,            0.054838,            0.018992,           0.0061226,            0.016659,           0.0031168,           0.0031168,           0.0031168
                  13,            0.019515,           0.0060655,            0.016021,             0.19558,             0.28188,            0.088528,            0.058581,             0.01736,           0.0060261,            0.016466,           0.0031011,           0.0031011,           0.0031011
                  14,            0.019421,           0.0061403,             0.01601,             0.24513,             0.28495,            0.091588,             0.05958,             0.01776,           0.0059185,            0.016361,           0.0030842,           0.0030842,           0.0030842
                  15,            0.018779,           0.0058993,            0.015914,              0.3869,             0.25755,            0.096563,            0.060882,             0.01725,           0.0059534,            0.016347,            0.003066,            0.003066,            0.003066
                  16,            0.018581,           0.0059195,            0.015603,             0.38348,             0.22735,            0.092016,            0.060092,            0.017365,            0.005885,            0.016076,           0.0030465,           0.0030465,           0.0030465
                  17,            0.018455,           0.0059585,            0.015515,             0.32502,             0.25097,            0.094242,            0.062906,            0.016554,           0.0058626,            0.016011,           0.0030258,           0.0030258,           0.0030258
                  18,            0.018183,           0.0057833,            0.015346,             0.38977,             0.24866,             0.10193,            0.067015,            0.016716,           0.0057773,            0.015705,           0.0030039,           0.0030039,           0.0030039
                  19,            0.018193,           0.0058492,            0.015012,             0.28873,             0.28779,            0.096578,             0.06285,            0.016755,           0.0057727,            0.015708,           0.0029808,           0.0029808,           0.0029808
                  20,             0.01799,           0.0057118,            0.014742,             0.23377,             0.36989,             0.10446,            0.069347,            0.016479,            0.005635,            0.015373,           0.0029565,           0.0029565,           0.0029565
                  21,            0.017869,            0.005878,            0.014572,             0.56632,             0.20373,             0.11151,            0.074008,             0.01589,           0.0056687,            0.015292,           0.0029311,           0.0029311,           0.0029311
                  22,            0.017622,           0.0057296,            0.014728,             0.23498,             0.33914,             0.11143,            0.072159,            0.016265,           0.0056255,             0.01497,           0.0029045,           0.0029045,           0.0029045
                  23,            0.017447,            0.005611,            0.014138,              0.3359,             0.28691,             0.11577,            0.075502,            0.016667,           0.0056497,            0.014929,           0.0028769,           0.0028769,           0.0028769
                  24,            0.017223,           0.0055833,            0.014058,             0.54338,             0.18042,             0.12209,             0.08054,            0.016244,           0.0055356,             0.01464,           0.0028482,           0.0028482,           0.0028482
                  25,            0.017206,           0.0055676,            0.013581,             0.52538,             0.20318,             0.12814,            0.082816,            0.015861,           0.0055115,            0.014323,           0.0028184,           0.0028184,           0.0028184
                  26,            0.017255,           0.0055546,            0.013275,             0.52565,             0.21248,             0.13347,            0.087259,            0.016141,           0.0055497,            0.014099,           0.0027876,           0.0027876,           0.0027876
                  27,            0.016972,           0.0054939,            0.013268,             0.60575,             0.18278,             0.13781,            0.089365,            0.016174,           0.0054799,               0.014,           0.0027558,           0.0027558,           0.0027558
                  28,            0.017094,            0.005534,            0.013085,             0.60299,             0.18886,             0.14074,            0.090511,            0.016178,           0.0055686,            0.013946,           0.0027231,           0.0027231,           0.0027231
